Page ID,Page Name,Disclaimer,Amount Spent (SEK),Number of Ads in Library
505229989560231,Kristdemokraterna i Skåne,Berneblad Lars Simon Robin,5348,41
469200036507893,Klimatriksdagen,Klimatriksdagen,5342,10
125830894149167,Socialdemokraterna i Järfälla,Socialdemokraterna i Järfälla,5341,18
213573458655537,Amref Flying Doctors Sverige,Maria Lannér,5341,6
182667815652758,Feminism & Gestaltning,Hillerbrand Rune Johanna Maria,5316,8
2096243023943539,Telge Återvinning,Telge Återvinning,5314,9
130436923695148,Idéer för livet,Skandia,5313,1
207364469446997,Djurens parti,Eriksson Monica Maria Therese,5309,3
154956994679599,Vänsterpartiet Dalarna,Fredholm Kajsa,5291,22
992162877621131,HK för ett bättre klimat,Gemma Hjordemyr,5290,443
817539501695869,Hyber,Markus Hjelm,5280,13
257888154669865,Conscia Sverige,These ads ran without a disclaimer,5266,4
147672065396607,Sverigedemokraterna Linköping,These ads ran without a disclaimer,5250,7
601956286601662,Axfoundation,Axfoundation,5250,4
293031380766852,Vänsterpartiet i EU,Vänsterpartiet i EU,5247,41
228671011420851,"Erik Ciardi, C, Kalmar",Bengtsson Qvarnström Bert B Filip,5240,5
353890744640664,Moderaterna i Region Sörmland,Moderaterna i Region Sörmland,5236,17
104949094445715,Skosh,These ads ran without a disclaimer,5235,2
124054804309822,Tidningen Senioren,Tidningen Senioren,5222,38
522679997923941,LinkedKurs,These ads ran without a disclaimer,5213,3
536008639802665,Ratio - Näringslivets forskningsinstitut,Ida Arnstedt,5206,56
301591067339906,Chomla Thai Food,These ads ran without a disclaimer,5206,35
735344996585138,Freudianska Föreningen - Arche,Freudianska Föreningen - Arche,5202,24
1849562398465143,Afram Yakoub,Yakuob Afram,5200,4
1084852481531222,ÖppnaDörren,ÖppnaDörren,5200,3
273402369438867,By Billgren,These ads ran without a disclaimer,5200,2
712230305617939,Uniper i Sverige,These ads ran without a disclaimer,5183,13
450477278845534,Vindkraft wpd Sverige,Vindkraft wpd Sverige,5181,15
1909176449301715,Svenskt Näringsliv Stockholms och Gotlands län,Svenskt Näringsliv,5158,17
539297539496434,Dagens Samhälle,These ads ran without a disclaimer,5151,2
129841741852473,Folkhälsodalen,Folkhälsodalen,5151,5
2367047106864736,Nextory,These ads ran without a disclaimer,5143,6
224076477722454,YUYU Bottle,These ads ran without a disclaimer,5133,2
186221904743410,Bliwa,These ads ran without a disclaimer,5125,5
417259508334433,Sverigedemokraterna Norberg,Karl Edman,5117,4
261049637294871,Länsförsäkringar Uppsala,Sebastian Andersson,5110,5
575521206217600,Filip Zackrisson - Liberal,Zackrisson Filip Mikael,5100,7
116656535030057,Campus Skellefteå,These ads ran without a disclaimer,5097,8
370182686393713,Centerpartiet Lidingö,Patrik Buddgård,5095,9
193369344040295,Socialdemokraterna Upplands-Bro,Austrell Gun Hellena,5076,28
183031871858967,Miljöpartiet de gröna i Solna,Bernhard Huber,5070,17
269023740216512,Orkla FoodSolutions SE,Carla Lind Andersson,5067,8
614697482231093,Jämställdhetsbutiken,Carola Ågren,5065,30
164688070209892,Folkbildarforum,Bildningsförbundet Östergötland,5054,29
179428858785629,Lendahand,These ads ran without a disclaimer,5043,6
401242727355794,Cicero Fonder,Cicero Fonder,5040,3
1818298128486692,Gabriella Hammarskjöld - C,Hammarskjold Eva Gabriella,5040,22
199940200160870,Järnkoll,Jennie Soläng,5037,11
718274508569269,MABI Hyrbilar - Mora,Berglund Robin Ove,5033,5
199388596882331,Socialdemokraterna Motala,Socialdemokraterna Motala,5022,24
121583151555736,Kristdemokraterna Kalmar län,Loord Jimmy Mikael,5014,16
1359442884155278,Järvaveckan,Moritz Tashnizi Andre Kave,5014,3
42676805259,Diakonia,These ads ran without a disclaimer,5009,4
102280038014965,Fly Green Fund,Fly Green Fund,5007,5
1774980969487507,Naturvetenskap vid Göteborgs universitet,Göteborgs universitet,5000,1
162985227114132,Skellefteå Kraft,These ads ran without a disclaimer,5000,4
259494917449401,Sveriges Elevkårer,Sveriges Elevkårer,5000,2
377004059035112,UNg FN-förbundet,Svenska FN-förbundet,5000,3
108128960737175,Jens Sjöström,Robin Pettersson Wäsche,5000,1
151323812131794,JobbCenter i Boden,Bodens kommun,5000,2
358960316179,Högskolan Dalarna,Högskolan Dalarna,5000,2
165719770147959,Miljöpartiet de Gröna Ystad,Emma Nilsson,5000,6
44015482829,United Nations Development Programme - UNDP,Wedonthavetime.org,5000,2
1550565435200255,Ytterjärna Forum,Maria Torshall,5000,1
177611198953756,Revisionskonsulterna J Hägglund,Revisionskonsulterna J Hägglund AB,4999,1
119271124771486,Globala Torget,Patrik Desthon,4988,18
1753157761397002,Moderaterna Region Jönköping,These ads ran without a disclaimer,4985,11
116621488352172,Centerpartiet i Göteborg,These ads ran without a disclaimer,4983,3
269713143169986,Moderaterna i Sala,These ads ran without a disclaimer,4979,10
638005553032221,Hammarby Sjöstad 2.0,Rickard Dahlstrand,4979,1
879887542403191,Carl Kangas - S Värmdö,Nygren Linda Elisabet,4974,35
170111706526814,Centerkvinnorna i Göteborg,Ostring Bergman Karin Maria,4960,7
146835005410015,Socialdemokraterna i Region Sörmland,These ads ran without a disclaimer,4939,7
167036616661188,Sverigedemokraterna Malmö,These ads ran without a disclaimer,4926,6
240615119468992,Kristdemokraterna i Degerfors,Johansson Jan Ove Mikael,4915,27
378029865703169,Liberalerna Uppsala kommun,Liberalerna Uppsala kommun,4903,52
466179240430095,Anna Starbrink - Liberalerna,Elin Frisk,4900,13
1834522019966466,"Jan Lenander, politiskt engagerad",Lenander Jan Richard,4894,46
261024395813,Union to Union,Union to Union,4889,5
534898423283520,Vänsterpartiet Norrköping,Vänsterpartiet Norrköping,4880,18
2171158826509354,Earth & Friends,These ads ran without a disclaimer,4870,15
328337361307099,Lars Thomsson - Riksdagsledamot C,Thomsson Lars Peter,4865,23
536831386400248,Number One,These ads ran without a disclaimer,4845,8
192916004118333,De Fria,De Fria,4842,23
100883630368,Semester i Österrike,These ads ran without a disclaimer,4840,1
60068877157,Socialdemokraterna i Norrbotten,Friberg Camilla Kristina,4837,14
111550553569420,Dorights,Dorights,4833,6
110028930477717,Klimat,Martin Goblirsch,4818,19
341429539282770,Moderaterna i Falköping,Anders Winlöf,4811,11
806090026184288,Min Bästa Bok,These ads ran without a disclaimer,4810,1
173014382750265,Malmö Yrkeshögskola,Malmö Yrkeshögskola,4800,2
1499977583563517,Jytte Guteland,These ads ran without a disclaimer,4798,2
283378461855807,Socialistiskt forum,ABF Stockholm,4797,13
817539501695869,Hyber,These ads ran without a disclaimer,4790,2
302554526602176,Centerpartiet Vaxholm,Centerpartiet Vaxholm,4788,25
1243789685638222,Folkstyret,Ströberg Mikael,4779,28
182471621785780,Länsförsäkringar Östgöta,These ads ran without a disclaimer,4772,4
182595121869724,Sverigedemokraterna Stockholms stad,These ads ran without a disclaimer,4761,11
137752179593270,Kristdemokraterna Värnamo,Kristdemokraterna Värnamo,4742,49
177815842230171,Kungl. Ingenjörsvetenskapsakademien (IVA),Kungl. Ingenjörsvetenskapsakademien IVA,4741,5
18880778360,ActionAid Sweden,These ads ran without a disclaimer,4732,5
178392422290780,Gratis i skolan,These ads ran without a disclaimer,4728,8
1757191391203190,Proethos fond,These ads ran without a disclaimer,4725,4
1431478057107460,Barkarbystaden,These ads ran without a disclaimer,4712,1
2100149783361416,Jobba i Alvesta kommun,KSMG,4696,2
136477236687873,Sharp Cookie Advisors AB,Sharp Cookie Advisors AB,4690,14
147691039224649,Tretorn,Tretorn,4687,11
284798254899723,Socialdemokraterna i Kiruna,Mats Niemi,4683,25
744040148974429,Miljöpartiet de gröna i Katrineholm,Miljöpartiet de gröna i Katrineholm,4666,13
114769995938282,Tankar Online,These ads ran without a disclaimer,4656,10
1308296045984813,Adnan Dibrani - Socialdemokraterna,Dibrani Adnan,4648,4
110038103985174,Inspektionen för vård och omsorg,These ads ran without a disclaimer,4643,1
337587266360398,Sko-Forum,These ads ran without a disclaimer,4636,1
569173933133573,ICLD - Swedish International Centre for Local Democracy,ICLD - Swedish International Centre for Local Democracy,4635,35
234842993227024,Socialdemokraterna i Nacka,Socialdemokraterna i Nacka,4619,11
699729213440455,Vänsterpartiet Västra Götaland,Theodorsson Bo Arnes Niklas,4603,22
357659877249,Anders G Johansson,Johansson Anders Gustaf Werner,4600,48
276637759146677,Kristdemokraterna Jämtlands Län,Kristdemokraterna i Jämtlands län,4595,9
769689373178831,Sjukvårdspartiet Västernorrland,These ads ran without a disclaimer,4595,24
309283471958,Hyresgästföreningen Region Sydost,Mats Olof Claesson,4593,5
234406603429481,Kommunal Stockholms län,Kommunal Stockholms län,4580,22
1420420074890794,Moderaterna Sollentuna,These ads ran without a disclaimer,4566,4
138898442878760,Lindströms Bil,These ads ran without a disclaimer,4558,2
435528019796532,Miinto,These ads ran without a disclaimer,4554,6
826965517348162,LINK Arkitektur,LINK arkitektur,4538,29
135984556430797,ALEF,Hélène Boëthius,4533,10
162866610403861,SolidEngineer,Johanna Doorn,4525,18
576845979156129,Techarenan,These ads ran without a disclaimer,4523,7
157785100941358,Region Skåne,Region Skåne,4517,3
1557300247877493,Karlholm Strand,Karlholm Strand,4513,2
177800338944751,Hyresgästföreningen region Stockholm,These ads ran without a disclaimer,4512,10
1592860820974499,Vänsterpartiet Sundbyberg,Hannes Anagrius,4510,42
1429379000693011,Solinnovation.se,These ads ran without a disclaimer,4504,3
513152295411062,Socialdemokraterna Jämtlands län,Socialdemokraterna Jämtlands län,4501,9
268590219892931,MOD - Mer organdonation,MOD - Mer organdonation,4500,4
183829141649898,SV Stockholms län,Studieförbundet Vuxenskolan Stockholms län,4500,12
116321661968,Ung Fadder,Erikshjälpen,4500,4
164355807916,Moderaterna i Jönköpings Län,These ads ran without a disclaimer,4500,9
2256836864595743,Susanna Gideonsson,Handelsanställdas förbund,4500,6
555683434553241,Liberalerna Lund,Karlson Christoffer Johan,4499,2
1174722142656198,Vi är Uppsala kommun,Uppsala kommun,4498,5
275106878584,Högskolan i Gävle,These ads ran without a disclaimer,4498,2
1577598732458905,Vänsterpartiet Gotland,These ads ran without a disclaimer,4492,35
264426550246963,Kalmar fortsatt framåt - Socialdemokraterna i Kalmar,HELLMAN LINUS PER-ERIK,4490,4
127624557250669,Miljöpartiet de gröna Gävle,Johansson Evelina Sofia,4471,45
457816914990274,happn,These ads ran without a disclaimer,4463,1
122586417778397,Folkuniversitetet,Folkuniversitetet,4462,14
106580707868719,Miljöpartiet de gröna i Åtvidaberg,Horsing Joakim Per Henrik,4459,9
173426642798425,HEMAB - Härnösand Energi & Miljö AB,These ads ran without a disclaimer,4454,2
104928476281245,Ibn Rushd Studieförbund,Ibn Rushd Studieförbund,4446,16
1308296045984813,Adnan Dibrani - Socialdemokraterna,Ghafari Sebastian,4446,7
1506025182942351,Miljöpartiet de gröna i Malmö,Miljöpartiet de gröna i Malmö,4433,30
224366637358,Journalistförbundet,Journalistförbundet,4432,26
305733156201821,Vänsterpartiet Storstockholm,These ads ran without a disclaimer,4417,14
100521988454869,Liberalerna Sala,Mårten Hemström,4416,30
103909164994705,FundShop,These ads ran without a disclaimer,4415,3
297923747637590,Eva B Arnesson - KD,Eva B Arnesson - KD,4413,43
902764029818093,Child10,Child 10,4409,10
1481124795271269,Swerock,These ads ran without a disclaimer,4401,9
498767116802809,Vänsterpartiet Region Stockholm,These ads ran without a disclaimer,4400,9
150157959005836,Karlstadpartiet Livskvalitet,Peter Sörensen,4400,4
1630862710497879,Oatly,These ads ran without a disclaimer,4394,2
292747071132513,True Gum,These ads ran without a disclaimer,4394,6
532394383485389,Positiva Pengar,Positiva Pengar,4354,26
214053252496505,Louise Meijer,Meijer Louise Elsa Christine,4353,42
389301114565082,"Psykiatrin skadar BARN med elchocker, ECT",Peter Larsson,4352,12
450439405144673,RadioPlaySE,Maja Thomhave,4351,8
592611510804919,Apoteksgruppen,These ads ran without a disclaimer,4344,1
46378622086,Magnus Kolsjö,Magnus Kolsjö,4342,47
707565442772760,Castellum AB,Castellum AB,4336,6
1307727569320278,Moderaterna i Arboga,Soderland Anders Mikael,4336,5
121489607875162,Vänsterpartiet Växjö,Kleinhenz Björn Joachim Mickael,4334,46
66496453715,Miljöpartiet de gröna i Umeå,Nils Seye Larsen,4328,11
237863203023150,Vänsterpartiet Umeå,Sellstedt Karl Sven Andreas,4328,17
1992227544209769,Fredrik Brange,Norrman Brange Fredrik Oskar,4327,12
112154658794592,Vänsterpartiet Botkyrka,Vänsterpartiet Botkyrka,4318,9
1177885685706745,Partiet Nyans,Partiet Nyans,4304,55
313671265509,Tankesmedjan Tiden,Schulin Amanda Elisabeth,4296,4
700878769933437,Miljöpartiet de gröna i Kalmar,Miljöpartiet de gröna i Kalmar,4296,17
799284903479521,Hyresgästföreningen region Mitt,Collin Petra Jessica,4296,20
359314984223280,Lambertsson Sverige AB,Camilla Sjödin,4296,10
111646266888014,Frivillig Röda Korset Karlstad,Ingegerd Hedén,4281,19
791705077698284,HPSolartech,These ads ran without a disclaimer,4268,3
518144408210153,Våra barns klimat,Våra barns klimat,4266,17
276108117859,Svenska Afghanistankommittén,These ads ran without a disclaimer,4248,5
939004146262372,Volt Sverige,Rolf Michael Holz,4240,13
119710274891528,Kristdemokraterna Helsingborg,Kristdemokraterna Helsingborg,4239,28
190994184253208,Vänsterpartiet Lund,These ads ran without a disclaimer,4236,7
563609460751251,Emilia Bjuggren,Socialdemokraterna i Stockholm,4234,7
312318652204361,Socialdemokraterna i Uppsala län,Socialdemokraterna i Uppsala län,4227,8
503184230205740,Nej till vänster i välfärden,Oliver Rykatkin,4226,4
383445851666296,Stockholm Free World Forum (Frivärld),Frida Granath,4224,30
113257525466571,Friskolornas riksförbund,Friskolornas riksförbund,4221,17
352247356426,Piratförlaget,Piratförlaget,4216,6
111639134083393,Elupproret Skåne,Moderaterna i Region Skåne,4216,12
1216240075170185,Svensk Live,Svensk Live,4215,10
139199222783462,Socialdemokraterna i Sigtuna kommun,Socialdemokraterna i Sigtuna kommun,4212,13
127701727291068,Out-of-Bounds.se,Alexander Edsmyr,4211,8
23426331389,Linköpings universitet,These ads ran without a disclaimer,4207,3
1845878962347273,Fossilfritt Sverige,Fossilfritt Sverige,4205,18
186325834774557,LT konsult fastighetsservice,These ads ran without a disclaimer,4205,7
131016210300095,Västervik Miljö & Energi AB,Fredérick Lindström,4200,7
268270906542400,Bostadsrätterna,These ads ran without a disclaimer,4184,2
257164037714257,Socialdemokraterna i Piteå,Socialdemokraterna i Piteå,4183,20
799284903479521,Hyresgästföreningen region Mitt,Hyresgästföreningen,4181,5
357786130923316,Touch of Taste,These ads ran without a disclaimer,4174,1
1753266461644353,Socialdemokraterna Markarydskommun,These ads ran without a disclaimer,4138,6
109030109129243,Centerpartiet i Skåne,Obrant Andreasson Ola Georg,4135,4
241319269242484,Socialdemokraterna Kungälv,Kungälvs Socialdemokratiska Arbetarekommun,4134,45
109573799125007,SSU Norrbotten,SSU Norrbotten,4121,4
133498356708433,Cementa,These ads ran without a disclaimer,4116,13
1674435389437104,Fundler,These ads ran without a disclaimer,4116,2
1215609188478798,IDG Tech Talk Nordics,These ads ran without a disclaimer,4107,1
256926791030140,Moderaterna i Håbo,Erling Björn Karl Gustaf,4104,26
108650137584684,GRÄV NER - Stoppa luftkablar genom Sörmland,Magnus Molitor,4100,2
764881470202582,Eddy G,These ads ran without a disclaimer,4096,2
152105868140026,Utrikespolitiska Föreningen vid Umeå universitet,Utrikespolitiska föreningen vid Umeå Universitet,4094,20
306507932750972,Socialdemokraterna i Uddevalla,Skoglund Leif Stefan,4093,15
193718334685636,Miljöpartiet i Alvesta,These ads ran without a disclaimer,4092,3
213401419608502,SE BARNEN,Film and Tell,4088,3
633423966764086,Kungl Krigsvetenskapsakademien,KKrVA,4085,5
379686162129542,Svea Ekonomi,These ads ran without a disclaimer,4077,15
254543154597970,Miljöpartiet i Stockholms stad,Miljöpartiet de gröna i Stockholms stad,4076,26
174527259250554,Socialdemokraterna på Linje 17,Socialdemokraterna på Linje 17,4064,25
100296704772989,Wildlife Mission,These ads ran without a disclaimer,4053,21
203635579652173,Unionen Stockholm,Unionen Sthlm,4051,2
172964230195,Hallandsposten,These ads ran without a disclaimer,4047,11
976330185791507,Gleitmo Technik AB,These ads ran without a disclaimer,4046,2
314198681994215,SSU Uppland,SSU Uppland,4045,9
182113801876968,HBT-Socialdemokrater,HBT-Socialdemokrater,4037,29
323218466904,Kristdemokraterna i Lerum,Miriam Helena Lilja,4031,22
181507551866544,Moderaterna i Sigtuna kommun,Nyman Helle Maria,4030,12
200569549980939,8 SIDOR,These ads ran without a disclaimer,4029,2
172975959409388,Världens historia,These ads ran without a disclaimer,4028,11
153620962993,RFSU Uppsala,Ulrika Dane Rfsu,4025,6
1941736302747070,Världens Chans,Världens Chans,4010,5
163601217178420,Sverigedemokraterna Varberg,Sverigedemokraterna Varberg,4001,7
1419307421424959,Demokraterna,These ads ran without a disclaimer,4000,1
254585641940,Huddinge kommun,These ads ran without a disclaimer,4000,2
512800882149538,Region Västerbotten,KSMG,4000,1
422674604503473,Svensk Betong,Bogerius Carl David,4000,1
466655176776330,Miljöpartiet de gröna i Upplands Väsby,These ads ran without a disclaimer,4000,1
371917622945364,Liberalerna Upplands-Bro,Per Johan Skånberg,4000,10
100283070150569,Sverigedemokraterna Karlskrona,These ads ran without a disclaimer,4000,2
382988195068441,Oppunda Svets & Mekanik AB,Oscar Samuelsson,4000,6
147558329265545,Nätverket Försvara Strejkrätten,Westin Nils Gunnar,4000,1
821722141185412,Dagens Industri Din Karriär,These ads ran without a disclaimer,3998,1
316856411803681,Solenergi Norr AB,Tony Arnqvist,3995,4
120634585355666,LuXembourg - Let's make it happen,These ads ran without a disclaimer,3994,22
297546973785228,Vänsterpartiet Orebro Kommun,Vänsterpartiet Örebro kommun,3993,9
208578946296070,Humana Individ & Familj,Humana Individ & Familj,3976,2
160861607809204,Funktionshinderbanan,These ads ran without a disclaimer,3976,3
121489607875162,Vänsterpartiet Växjö,These ads ran without a disclaimer,3976,8
2194546487442221,Neste,These ads ran without a disclaimer,3975,4
312973752082089,Sveriges Tidskrifter,Sveriges Tidskrifter,3968,9
1040487469355385,TripActions,These ads ran without a disclaimer,3968,1
143283482511278,Teater ONT,Niklas Åkesson,3962,49
109845107083417,Bravo novel,These ads ran without a disclaimer,3960,27
133498356708433,Cementa,Cementa,3960,6
345645504876,Miljöpartiet de gröna i Nacka,These ads ran without a disclaimer,3950,2
1728161607250919,Skyddsrumsspecialisten,Skyddsrumsspecialisten Sune Ström AB,3947,11
175266425941519,BizMaker,Ivares Helene Viola,3937,5
334933870387484,Eva Ahlin - Centerpartist,Ahlin Siv Eva Marie,3933,46
363986787047878,Sverigedemokraterna Nacka,Örmä Esa Pekka,3930,5
319889246200,Vision Haircare,These ads ran without a disclaimer,3926,3
287105615119357,Utveckla Norrbotten,Region Norrbotten,3918,4
573954772674425,Miljöpartiet de gröna Jämtland Härjedalen,These ads ran without a disclaimer,3913,3
238921286144521,Jeeves,These ads ran without a disclaimer,3912,11
192567580603,Ttela,These ads ran without a disclaimer,3912,8
1662175883994902,Bostaden Umeå,These ads ran without a disclaimer,3911,2
132397073455387,Socialdemokraterna i Österåker,Kristian Krassman,3909,11
280367068667411,Centerpartiet Uppsala,Centerpartiet Uppsala,3893,5
167613603872122,"Håkan Andersson, Centerpartiet",Håkan Andersson,3880,18
347422875756487,Magnus Claesson Centerpartiet Kumla,Magnus Arvid Claesson,3877,30
109612275862342,Liberalerna Kumla,Liberalerna Kumla,3869,13
567994010035766,Skatt är stöld,Mikael Nordin,3869,13
727972967261223,Sorundanet Nynäshamns kommunparti,Per Ranch,3869,85
305521340342729,USR Diaspora - Suedia,Uniunea Salvați România,3863,4
1292941027470473,Tillsammans för regionens utveckling,Region Västerbotten,3861,4
537414056278216,Clockwork Bemanning & Rekrytering AB,These ads ran without a disclaimer,3850,3
974807755917470,UR Skola,UR,3850,13
101306251619319,Rädda strömmingen i Stockholms skärgård,Elias Wästberg,3848,6
173275532684116,Liberalerna Norrmalm,Tufvesson Elsa Christina,3842,40
7336236196,Piratpartiet,Piratpartiet,3841,5
194364095036,Frank Dandy,These ads ran without a disclaimer,3835,1
180210492010678,Nowa Kommunikation,These ads ran without a disclaimer,3828,3
155571757826400,Världen idag,These ads ran without a disclaimer,3827,22
788657588008189,Moderaterna i Västerås,Rattfeldt Anders Gustav Victor,3800,8
114239835279467,Argon Audio,These ads ran without a disclaimer,3799,1
666532766812900,News55,These ads ran without a disclaimer,3797,2
703204236400845,Kristdemokraterna Lidingö,Kristdemokraterna på Lidingö,3793,12
1954704171265622,Extinction Rebellion Skåne,Extinction Rebellion Skåne,3793,27
292532504512919,Marie Nilsson,IF Metall,3786,14
110378045668752,Pollex AB,Mattias Höglund,3778,51
155120071294454,Socialdemokraterna i Varberg,These ads ran without a disclaimer,3777,8
112954049344765,Tom Silverklo - Centerpartiet,Tom Silverklo,3777,19
1528893957238148,Bengt Hellström KD Sigtuna,Bengt Hellström,3761,7
1420420074890794,Moderaterna Sollentuna,Moderaterna Sollentuna,3751,11
1458035847741432,Moderaterna i Värmland,Moderaterna i Värmland,3750,3
170354066912542,Pride Boden,Bodens kommun,3747,19
124496891060498,Liberalerna i Täby,Robert Stopp,3740,27
174376483235708,Society Lab,Society Lab,3736,2
588714441171717,Centerpartiet Östergötland,Felix Grönqvist,3732,5
75156542868,Anna Hård af Segerstad,Anna Segerstad,3732,23
150548735017115,Elgiganten Sverige,These ads ran without a disclaimer,3725,1
116621488352172,Centerpartiet i Göteborg,David Bernardi,3723,17
1428064517465758,Kristdemokraterna i Värmdö,Lipinska Anna Weronika,3717,51
350197451669585,Svensk Fastighetsförmedling Piteå,Svensk Fastighetsförmedling Piteå,3714,9
943616319032484,Svenskt Näringsliv Dalarna,Svenskt Näringsliv,3711,10
136417186373996,Malmö universitet,These ads ran without a disclaimer,3706,2
358309947582109,Miljöpartiet i Alingsås,Anna Hansson,3702,16
166934049354,Miljöpartiet de Gröna i Östergötland,LINDELL JENS-OLOF BERTIL,3700,14
529270410491237,Liberalerna Botkyrka,Liberalerna Botkyrka,3700,13
555683434553241,Liberalerna Lund,These ads ran without a disclaimer,3682,4
1836365373266980,Cooking Diary,These ads ran without a disclaimer,3674,1
1177015185803869,Textilsmart,These ads ran without a disclaimer,3658,1
1545369075688158,Brottsofferjouren Sverige,Wallinder Liv Matilda Lavinia,3658,5
138400612901860,Dansens Hus,Dansens Hus,3654,6
1682793018671477,Socialdemokraterna i Kävlinge kommun,Sandstrom Stig Rune Thomas,3650,8
140716706608231,Left To Survive,These ads ran without a disclaimer,3648,40
336369404080,Internetdagarna,Jakob Bäck,3646,1
2388354714741824,EcoInnova,These ads ran without a disclaimer,3640,8
408171019221426,Slöseriombudsmannen,Skattebetalarnas Förening,3637,9
1516836921924490,Sverigedemokraterna Örebro kommun,SD Örebro kommun,3634,5
653072158104424,Emma Wiesner,These ads ran without a disclaimer,3628,14
2395438520735011,BEWi Sverige,Niklas Karlsson,3610,8
211939160389,Malmö Museer,Malmö Museer,3606,20
294255810690568,Kristdemokraterna Väsby,Falt Anna Maria,3606,15
419739511501077,Verbal förlag,Verbal Förlag,3605,4
430535663641398,Kristdemokraterna i Örebro län,Cesar Eje Alexander,3601,8
201702346508598,Liberalerna Skåne,Howard Liselotte Caroline,3600,11
384761484868830,Liberalerna i Södertälje,Liberalerna Södertälje,3590,19
592274057460450,Tandläkare.se,These ads ran without a disclaimer,3588,1
414156238684191,Kristdemokraterna Västerbotten,Kristdemokraterna,3586,47
296553441060,Länsstyrelsen i Jönköpings län,These ads ran without a disclaimer,3579,2
149138441769539,SOURCE,KSMG,3572,4
121128945139974,Uppsala Vatten och Avfall,Uppsala Vatten,3570,13
207193162670336,Fair Action,These ads ran without a disclaimer,3568,5
242795945821731,Centerpartiet Lund,Landin Camilla Maria,3568,13
252516142116820,Abir Al-Sahlani,Abir Alsahlani,3567,14
193376490803871,Centerpartiet i Ulricehamn,Centerpartiet i Ulricehamn,3566,18
622898131222952,Gaston Luga,These ads ran without a disclaimer,3555,1
362879693724887,Studieförbundet Vuxenskolan Väst,Therese Johansson Kläth,3554,11
154474511284896,Sverigedemokraterna Vallentuna,Fredrik Lindahl,3551,3
464044543663984,Sverigedemokraterna Lidköping,Tomas Persson,3550,14
113540751999627,"SILC, Swedish International Liberal Centre",Per Olsson,3547,7
838431352883045,Jobba i Södertälje kommun,These ads ran without a disclaimer,3531,51
156298131645410,Kristdemokraterna Eslöv,Estenlund Per Samuel,3529,5
189699774387238,"Andreas Sturesson, kommunalråd",Kristdemokraterna Jönköpings län,3526,8
2039675696311708,SETTLA LAW,These ads ran without a disclaimer,3525,11
200665513278957,Naturvetenskap vid Lunds universitet,These ads ran without a disclaimer,3525,6
109886133732943,RESCUE - Sverige,Kristofer Berglin,3512,16
332610816893837,Sverigedemokraterna i Borås,Sverigedemokraterna Borås,3501,13
1373066276113230,Ringhals kärnkraftverk,Karin Swanson,3501,25
656908278084235,Conny Brännberg - Politiker,Brannberg Conny Ruben,3500,6
121396547892591,Centerpartiet i Jämtlands län,Fallman Eva Kristina Jeanette,3500,7
227136584032103,Coop Norrbotten,These ads ran without a disclaimer,3500,2
256473291049799,Praktikertjänst - Jobb,These ads ran without a disclaimer,3500,2
173517776418116,Sverigedemokraterna Salem,Sverigedemokraterna Stockholms län,3500,1
398732966907939,Fastighetsägarna Service,Fastighetsägarna Service,3500,2
143771795688415,Vänsterpartiet Ängelholm,Oscar Saul Funes Galindo,3499,10
273483286188959,Kristdemokraterna i Gagnef,Kristdemokraterna Gagnef,3495,66
171919835807,TCO,Tyrsen Ann Marika Kristin,3495,9
176631859160939,Sverigedemokraterna Örebro län,Anders Arne Fredrik Dahlberg,3490,5
119628488091475,Concord Sverige,CONCORD Sverige,3488,15
397655376946941,Liberalerna Lidingö,Liberalerna Lidingö,3484,21
138332829601215,Liberalerna i Sigtuna kommun,Liberalerna i Sigtuna kommun,3476,11
244897208924797,Arbetet,These ads ran without a disclaimer,3470,2
237863203023150,Vänsterpartiet Umeå,Skold Bore Emil,3466,29
808249139297395,Hela Kommunen Ska Leva Och Lära,Hela kommunen ska leva och lära,3462,5
528944283871109,Socialdemokraterna i Mark,Andersson Hakan Ulf Goran,3460,12
181409445272366,Sveriges Kvinnolobby,Sveriges Kvinnolobby,3457,11
165663277491966,Delegationen mot segregation,Delegationen mot segregation,3451,2
926176144194442,Förbättra entreprenörsskatten,Ydstedt Anders Olof Fridolf A,3450,21
216527871697704,Landskronamoderaterna,Tingstrom Emil Gustaf Eric,3450,16
108009643922048,Christian Liljenhed - Liberalerna,Christian Liljenhed,3450,12
660446277665680,Alternativ för Sverige - Värmland,These ads ran without a disclaimer,3446,6
108304136037279,Moderaterna i Kävlinge,Bengtsson Patrik Mikael,3442,5
196903603669184,Sevab Strängnäs Energi,SEVAB Strängnäs Energi,3440,5
1166930926780149,Stockholm Open Poetry,Philip Almén,3429,31
103591068066235,Cloudberry Labs AB,These ads ran without a disclaimer,3415,1
560378397406597,Socialdemokraterna i Skurup,Sylve Qvillberg,3413,16
208417569188397,Centerpartiet i Hudiksvall,Centerpartiet i Hudiksvall,3412,21
1404655373128699,Kristdemokraterna i Hultsfred,Anders Andersson,3411,92
1439530596300786,Röda Korset Malmö,Hanna Svederborn,3411,10
1543032295946382,A Beautiful Soup,A Beautiful Soup,3401,11
1412040925698956,Sverigedemokraterna Västerås,Thessen Emil Mikael,3400,9
1689731681313140,Ulf Ivar Nilsson,These ads ran without a disclaimer,3395,9
102333994491535,Sky sunset,These ads ran without a disclaimer,3383,1
2034901333190011,Ricky Karlsson KD,These ads ran without a disclaimer,3376,12
